event,gender,ageGroup,minutes,seconds,decimals
50  MTS FLY,Masculino,25-29,00,23,15
100 MTS FLY,Masculino,25-29,00,51,13
200 MTS FLY,Masculino,25-29,01,53,7
100 MTS IM,Masculino,25-29,00,52,78
200 MTS IM,Masculino,25-29,01,58,9
400 MTS IM,Masculino,25-29,04,14,5
50 MTS FREE,Masculino,30-34,00,21,53
100 MTS FREE,Masculino,30-34,00,47,29
200 MTS FREE,Masculino,30-34,01,46,1
400 MTS FREE,Masculino,30-34,03,48,5
800 MTS FREE,Masculino,30-34,08,06,6
1500 MTS FREE,Masculino,30-34,15,30,9
50 MTS BACK,Masculino,30-34,00,23,86
100 MTS BACK,Masculino,30-34,00,52,13
200 MTS BACK,Masculino,30-34,01,53,7
50 MTS BRST,Masculino,30-34,00,26,72
100 MTS BRST,Masculino,30-34,00,58,13
200 MTS BRST,Masculino,30-34,02,08,1
50  MTS FLY,Masculino,30-34,00,22,87
100 MTS FLY,Masculino,30-34,00,52,4
200 MTS FLY,Masculino,30-34,01,53,6
100 MTS IM,Masculino,30-34,00,53,28
200 MTS IM,Masculino,30-34,01,57,0
400 MTS IM,Masculino,30-34,04,16,1
50 MTS FREE,Masculino,35-39,00,21,53
100 MTS FREE,Masculino,35-39,00,47,7
200 MTS FREE,Masculino,35-39,01,48,4
400 MTS FREE,Masculino,35-39,03,57,8
800 MTS FREE,Masculino,35-39,08,16,2
1500 MTS FREE,Masculino,35-39,15,41,8
50 MTS BACK,Masculino,35-39,00,24,48
100 MTS BACK,Masculino,35-39,00,52,73
200 MTS BACK,Masculino,35-39,01,59,6
50 MTS BRST,Masculino,35-39,00,26,66
100 MTS BRST,Masculino,35-39,00,59,21
200 MTS BRST,Masculino,35-39,02,12,8
50  MTS FLY,Masculino,35-39,00,23,12
100 MTS FLY,Masculino,35-39,00,52,29
200 MTS FLY,Masculino,35-39,02,00,0
100 MTS IM,Masculino,35-39,00,54,82
200 MTS IM,Masculino,35-39,01,59,9
400 MTS IM,Masculino,35-39,04,19,8
50 MTS FREE,Masculino,40-44,00,22,39
100 MTS FREE,Masculino,40-44,00,48,68
200 MTS FREE,Masculino,40-44,01,49,9
400 MTS FREE,Masculino,40-44,04,00,7
800 MTS FREE,Masculino,40-44,08,15,7
1500 MTS FREE,Masculino,40-44,15,51,6
50 MTS BACK,Masculino,40-44,00,25,48
100 MTS BACK,Masculino,40-44,00,54,85
200 MTS BACK,Masculino,40-44,02,03,8
50 MTS BRST,Masculino,40-44,00,27,05
100 MTS BRST,Masculino,40-44,01,01,4
200 MTS BRST,Masculino,40-44,02,13,7
50  MTS FLY,Masculino,40-44,00,23,9
100 MTS FLY,Masculino,40-44,00,53,56
200 MTS FLY,Masculino,40-44,02,03,0
100 MTS IM,Masculino,40-44,00,56,8
200 MTS IM,Masculino,40-44,02,03,5
400 MTS IM,Masculino,40-44,04,22,3
50 MTS FREE,Masculino,45-49,00,22,85
100 MTS FREE,Masculino,45-49,00,49,99
200 MTS FREE,Masculino,45-49,01,52,6
400 MTS FREE,Masculino,45-49,04,03,1
800 MTS FREE,Masculino,45-49,08,24,8
1500 MTS FREE,Masculino,45-49,16,08,4
50 MTS BACK,Masculino,45-49,00,25,73
100 MTS BACK,Masculino,45-49,00,57,
200 MTS BACK,Masculino,45-49,02,04,7
50 MTS BRST,Masculino,45-49,00,28,64
100 MTS BRST,Masculino,45-49,01,02,2
200 MTS BRST,Masculino,45-49,02,15,4
50  MTS FLY,Masculino,45-49,00,24,37
100 MTS FLY,Masculino,45-49,00,55,07
200 MTS FLY,Masculino,45-49,02,05,0
100 MTS IM,Masculino,45-49,00,57,68
200 MTS IM,Masculino,45-49,02,04,6
400 MTS IM,Masculino,45-49,04,31,4
50 MTS FREE,Masculino,50-54,00,23,36
100 MTS FREE,Masculino,50-54,00,51,49
200 MTS FREE,Masculino,50-54,01,54,6
400 MTS FREE,Masculino,50-54,04,04,5
800 MTS FREE,Masculino,50-54,08,33,7
1500 MTS FREE,Masculino,50-54,16,23,4
50 MTS BACK,Masculino,50-54,00,26,69
100 MTS BACK,Masculino,50-54,00,57,95
200 MTS BACK,Masculino,50-54,02,07,1
50 MTS BRST,Masculino,50-54,00,28,72
100 MTS BRST,Masculino,50-54,01,03,6
200 MTS BRST,Masculino,50-54,02,19,4
50  MTS FLY,Masculino,50-54,00,24,96
100 MTS FLY,Masculino,50-54,00,55,85
200 MTS FLY,Masculino,50-54,02,07,7
100 MTS IM,Masculino,50-54,00,57,69
200 MTS IM,Masculino,50-54,02,06,4
400 MTS IM,Masculino,50-54,04,29,3
50 MTS FREE,Masculino,55-59,00,24,37
100 MTS FREE,Masculino,55-59,00,54,32
200 MTS FREE,Masculino,55-59,01,59,1
400 MTS FREE,Masculino,55-59,04,16,0
800 MTS FREE,Masculino,55-59,08,51,3
1500 MTS FREE,Masculino,55-59,16,59,7
50 MTS BACK,Masculino,55-59,00,27,86
100 MTS BACK,Masculino,55-59,01,00,8
200 MTS BACK,Masculino,55-59,02,12,3
50 MTS BRST,Masculino,55-59,00,29,22
100 MTS BRST,Masculino,55-59,01,04,3
200 MTS BRST,Masculino,55-59,02,22,9
50  MTS FLY,Masculino,55-59,00,26,41
100 MTS FLY,Masculino,55-59,00,59,11
200 MTS FLY,Masculino,55-59,02,16,0
100 MTS IM,Masculino,55-59,01,00,7
200 MTS IM,Masculino,55-59,02,14,2
400 MTS IM,Masculino,55-59,04,49,9
50 MTS FREE,Masculino,60-64,00,24,9
100 MTS FREE,Masculino,60-64,00,55,73
200 MTS FREE,Masculino,60-64,02,01,7
400 MTS FREE,Masculino,60-64,04,27,6
800 MTS FREE,Masculino,60-64,09,07,8
1500 MTS FREE,Masculino,60-64,17,34,5
50 MTS BACK,Masculino,60-64,00,29,29
100 MTS BACK,Masculino,60-64,01,03,2
200 MTS BACK,Masculino,60-64,02,17,2
50 MTS BRST,Masculino,60-64,00,29,77
100 MTS BRST,Masculino,60-64,01,06,0
200 MTS BRST,Masculino,60-64,02,26,5
50  MTS FLY,Masculino,60-64,00,26,78
100 MTS FLY,Masculino,60-64,01,00,2
200 MTS FLY,Masculino,60-64,02,20,3
100 MTS IM,Masculino,60-64,01,03,2
200 MTS IM,Masculino,60-64,02,19,3
400 MTS IM,Masculino,60-64,05,04,5
50 MTS FREE,Masculino,65-69,00,25,42
100 MTS FREE,Masculino,65-69,00,57,78
200 MTS FREE,Masculino,65-69,02,07,5
400 MTS FREE,Masculino,65-69,04,27,9
800 MTS FREE,Masculino,65-69,09,26,9
1500 MTS FREE,Masculino,65-69,18,26,0
50 MTS BACK,Masculino,65-69,00,30,34
100 MTS BACK,Masculino,65-69,01,06,9
200 MTS BACK,Masculino,65-69,02,26,5
50 MTS BRST,Masculino,65-69,00,32,5
100 MTS BRST,Masculino,65-69,01,11,8
200 MTS BRST,Masculino,65-69,02,36,9
50  MTS FLY,Masculino,65-69,00,27,94
100 MTS FLY,Masculino,65-69,01,03,8
200 MTS FLY,Masculino,65-69,02,22,9
100 MTS IM,Masculino,65-69,01,05,4
200 MTS IM,Masculino,65-69,02,20,4
400 MTS IM,Masculino,65-69,05,03,3
50 MTS FREE,Masculino,70-74,00,26,88
100 MTS FREE,Masculino,70-74,01,01,3
200 MTS FREE,Masculino,70-74,02,11,0
400 MTS FREE,Masculino,70-74,04,46,8
