event,gender,ageGroup,minutes,seconds,decimals
50 MTS FREE,Masculino,45-49,00,23,55
100 MTS FREE,Masculino,45-49,00,52,24
200 MTS FREE,Masculino,45-49,01,55,39
400 MTS FREE,Masculino,45-49,04,09,66
800 MTS FREE,Masculino,45-49,08,40,79
1500 MTS FREE,Masculino,45-49,16,38,80
50 MTS BACK,Masculino,45-49,00,27,56
100 MTS BACK,Masculino,45-49,00,59,57
200 MTS BACK,Masculino,45-49,02,11,56
50 MTS BRST,Masculino,45-49,00,29,22
100 MTS BRST,Masculino,45-49,01,04,77
200 MTS BRST,Masculino,45-49,02,19,44
50 MTS FLY,Masculino,45-49,00,24,96
100 MTS FLY,Masculino,45-49,00,56,75
200 MTS FLY,Masculino,45-49,02,06,94
200 MTS IM,Masculino,45-49,02,10,09
400 MTS IM,Masculino,45-49,04,43,83
50 MTS FREE,Masculino,50-54,00,24,08
100 MTS FREE,Masculino,50-54,00,53,04
200 MTS FREE,Masculino,50-54,01,58,62
400 MTS FREE,Masculino,50-54,04,15,93
800 MTS FREE,Masculino,50-54,08,55,05
1500 MTS FREE,Masculino,50-54,17,08,30
50 MTS BACK,Masculino,50-54,00,28,2
100 MTS BACK,Masculino,50-54,01,01,57
200 MTS BACK,Masculino,50-54,02,14,53
50 MTS BRST,Masculino,50-54,00,29,23
100 MTS BRST,Masculino,50-54,01,06,12
200 MTS BRST,Masculino,50-54,02,24,44
50 MTS FLY,Masculino,50-54,00,25,53
100 MTS FLY,Masculino,50-54,00,56,99
200 MTS FLY,Masculino,50-54,02,13,26
200 MTS IM,Masculino,50-54,02,11,15
400 MTS IM,Masculino,50-54,04,45,61
50 MTS FREE,Masculino,55-59,00,24,45
100 MTS FREE,Masculino,55-59,00,55,76
200 MTS FREE,Masculino,55-59,02,04,01
400 MTS FREE,Masculino,55-59,04,22,49
800 MTS FREE,Masculino,55-59,09,00,09
1500 MTS FREE,Masculino,55-59,17,22,60
50 MTS BACK,Masculino,55-59,00,29,03
100 MTS BACK,Masculino,55-59,01,03,50
200 MTS BACK,Masculino,55-59,02,20,83
50 MTS BRST,Masculino,55-59,00,30,02
100 MTS BRST,Masculino,55-59,01,07,65
200 MTS BRST,Masculino,55-59,02,30,63
50 MTS FLY,Masculino,55-59,00,26,47
100 MTS FLY,Masculino,55-59,01,00,56
200 MTS FLY,Masculino,55-59,02,16,78
200 MTS IM,Masculino,55-59,02,20,67
400 MTS IM,Masculino,55-59,04,57,55
50 MTS FREE,Masculino,60-64,00,24,82
100 MTS FREE,Masculino,60-64,00,57,39
200 MTS FREE,Masculino,60-64,02,07,68
400 MTS FREE,Masculino,60-64,04,30,15
800 MTS FREE,Masculino,60-64,09,21,08
1500 MTS FREE,Masculino,60-64,17,55,90
